Ligne (ID),Ligne_nom_court,Date de début de validité,Résolution,Image
1,C1,2017-09-04,1:30,https://data.explore.star.fr/api/v2/catalog/datasets/tco-bus-lignes-pictogrammes-dm/files/1cdd694007002331e1fc95ebc13ed1c7
5,C5,2017-09-04,1:30,https://data.explore.star.fr/api/v2/catalog/datasets/tco-bus-lignes-pictogrammes-dm/files/afe187b115be5630cf053f425981cfb0
6,C6,2017-09-04,1:30,https://data.explore.star.fr/api/v2/catalog/datasets/tco-bus-lignes-pictogrammes-dm/files/ac0df6c4fa43556da4f44a7764c87050
34,34,2017-09-04,1:30,https://data.explore.star.fr/api/v2/catalog/datasets/tco-bus-lignes-pictogrammes-dm/files/0cda77e667896730678a4c010ea9612c
38,38,2017-09-04,1:30,https://data.explore.star.fr/api/v2/catalog/datasets/tco-bus-lignes-pictogrammes-dm/files/69f78f58db06b64bc114f9f4f65885f8
44,44,2017-09-04,1:30,https://data.explore.star.fr/api/v2/catalog/datasets/tco-bus-lignes-pictogrammes-dm/files/53f4c7c8cd708367a97b5bcb2bd1313e
51,51,2017-09-04,1:30,https://data.explore.star.fr/api/v2/catalog/datasets/tco-bus-lignes-pictogrammes-dm/files/b4c3c1f6564ec6c23426e135628b4fc5
59,59,2017-09-04,1:30,https://data.explore.star.fr/api/v2/catalog/datasets/tco-bus-lignes-pictogrammes-dm/files/b170fb380d4294be8d05be0840d6c3f1
62,62,2017-09-04,1:30,https://data.explore.star.fr/api/v2/catalog/datasets/tco-bus-lignes-pictogrammes-dm/files/cb793bd91a9b9af0facb714df6bebdaa
76,76,2017-09-04,1:30,https://data.explore.star.fr/api/v2/catalog/datasets/tco-bus-lignes-pictogrammes-dm/files/18369eef9d702d373b7da7930c082083
77,77,2017-09-04,1:30,https://data.explore.star.fr/api/v2/catalog/datasets/tco-bus-lignes-pictogrammes-dm/files/3a0ec9dbe2829ea8e4217db550a23fae
79,79,2017-09-04,1:30,https://data.explore.star.fr/api/v2/catalog/datasets/tco-bus-lignes-pictogrammes-dm/files/a982b2fc1315b9c9bc02aa05e40c4b7b
94,94,2017-09-04,1:30,https://data.explore.star.fr/api/v2/catalog/datasets/tco-bus-lignes-pictogrammes-dm/files/31bc026bd18b9d92426da295586ca896
150,150ex,2017-09-04,1:30,https://data.explore.star.fr/api/v2/catalog/datasets/tco-bus-lignes-pictogrammes-dm/files/83159fe4c5a8059dbe5aa08a0dd8587a
155,155ex,2017-09-04,1:30,https://data.explore.star.fr/api/v2/catalog/datasets/tco-bus-lignes-pictogrammes-dm/files/95a6395842cc662f2241cee5dbba7c28
167,167ex,2017-09-04,1:30,https://data.explore.star.fr/api/v2/catalog/datasets/tco-bus-lignes-pictogrammes-dm/files/25556b615095e3b1e54631e319455421
204,204,2017-09-04,1:30,https://data.explore.star.fr/api/v2/catalog/datasets/tco-bus-lignes-pictogrammes-dm/files/5d851d680352701d3726e0d1d3a302ed
220,220,2017-09-04,1:30,https://data.explore.star.fr/api/v2/catalog/datasets/tco-bus-lignes-pictogrammes-dm/files/b6cdecaee43f637cf0dd6f20fa06b0e1
223,223,2017-09-04,1:30,https://data.explore.star.fr/api/v2/catalog/datasets/tco-bus-lignes-pictogrammes-dm/files/42e12d8bc9eddff8bf83ac224533dcf8
224,224,2017-09-04,1:30,https://data.explore.star.fr/api/v2/catalog/datasets/tco-bus-lignes-pictogrammes-dm/files/7a5a886f0cecc094dbaefc33aa21f0d8
234,234,2017-09-04,1:30,https://data.explore.star.fr/api/v2/catalog/datasets/tco-bus-lignes-pictogrammes-dm/files/2a259e323e4bf240d5bfc3bd41380d40
238,238,2017-09-04,1:30,https://data.explore.star.fr/api/v2/catalog/datasets/tco-bus-lignes-pictogrammes-dm/files/74c1462c50ce03ce47bb3ce8308f0d6b
243,243,2017-09-04,1:30,https://data.explore.star.fr/api/v2/catalog/datasets/tco-bus-lignes-pictogrammes-dm/files/447db1df7f53af3b15728fe16f674bee
401,Ts1,2017-09-04,1:30,https://data.explore.star.fr/api/v2/catalog/datasets/tco-bus-lignes-pictogrammes-dm/files/01ab9afbfee165548a970b871333994b
402,Ts2,2017-09-04,1:30,https://data.explore.star.fr/api/v2/catalog/datasets/tco-bus-lignes-pictogrammes-dm/files/f3f0bc7b88759da2998fbe1240b8781c
405,Ts5,2017-09-04,1:30,https://data.explore.star.fr/api/v2/catalog/datasets/tco-bus-lignes-pictogrammes-dm/files/99acdc77c60523e40eeb8e6b460b0c24
432,Ts32,2017-09-04,1:30,https://data.explore.star.fr/api/v2/catalog/datasets/tco-bus-lignes-pictogrammes-dm/files/e7340b6cb6ed37a9ffa0c7efe7811cd7
436,Ts36,2017-09-04,1:30,https://data.explore.star.fr/api/v2/catalog/datasets/tco-bus-lignes-pictogrammes-dm/files/3b187e716b0130054e4d73b4ecee04b6
441,Ts41,2017-09-04,1:30,https://data.explore.star.fr/api/v2/catalog/datasets/tco-bus-lignes-pictogrammes-dm/files/4c24fa1f2b1ffb72da2276fab014b183
452,Ts52,2017-09-04,1:30,https://data.explore.star.fr/api/v2/catalog/datasets/tco-bus-lignes-pictogrammes-dm/files/3dc48420d4ce443d155827bbd3ee9340
475,Ts75,2017-09-04,1:30,https://data.explore.star.fr/api/v2/catalog/datasets/tco-bus-lignes-pictogrammes-dm/files/2c5cf107887e8cf7a0f5053d115fd4f0
481,Ts81,2017-09-04,1:30,https://data.explore.star.fr/api/v2/catalog/datasets/tco-bus-lignes-pictogrammes-dm/files/849f06e2233d6ffe7501f02426125d3f
803,API,2017-09-04,1:30,https://data.explore.star.fr/api/v2/catalog/datasets/tco-bus-lignes-pictogrammes-dm/files/a04f070e1359ee981f34d4d870649a00
806,BDS,2017-09-04,1:30,https://data.explore.star.fr/api/v2/catalog/datasets/tco-bus-lignes-pictogrammes-dm/files/3f57ec5adf6867337e8df8e6411f0f08
810,NAV,2017-09-04,1:30,https://data.explore.star.fr/api/v2/catalog/datasets/tco-bus-lignes-pictogrammes-dm/files/210fbbeacd43faca3453272f49fa6d34
804,TTZ,2017-09-04,1:30,https://data.explore.star.fr/api/v2/catalog/datasets/tco-bus-lignes-pictogrammes-dm/files/947553484e032d2c9c481447b63c5753
3,C3,2017-09-04,1:100,https://data.explore.star.fr/api/v2/catalog/datasets/tco-bus-lignes-pictogrammes-dm/files/0945cce3fad017a150766661cda1378f
6,C6,2017-09-04,1:100,https://data.explore.star.fr/api/v2/catalog/datasets/tco-bus-lignes-pictogrammes-dm/files/25af4021b2bca89fc66e1ea952fce9b8
12,12,2017-09-04,1:100,https://data.explore.star.fr/api/v2/catalog/datasets/tco-bus-lignes-pictogrammes-dm/files/0f31f8b663ca09a49b8af135b3644aca
37,37,2017-09-04,1:100,https://data.explore.star.fr/api/v2/catalog/datasets/tco-bus-lignes-pictogrammes-dm/files/1bac56504ec6332aa85b0a6880804cfd
38,38,2017-09-04,1:100,https://data.explore.star.fr/api/v2/catalog/datasets/tco-bus-lignes-pictogrammes-dm/files/626f685dd362a99fda6ab1f8005db407
41,41ex,2017-09-04,1:100,https://data.explore.star.fr/api/v2/catalog/datasets/tco-bus-lignes-pictogrammes-dm/files/3674a3de43cfbdd8a4f767c355127f4d
44,44,2017-09-04,1:100,https://data.explore.star.fr/api/v2/catalog/datasets/tco-bus-lignes-pictogrammes-dm/files/60c2264d3260cfa016bacf9db885410c
63,63,2017-09-04,1:100,https://data.explore.star.fr/api/v2/catalog/datasets/tco-bus-lignes-pictogrammes-dm/files/04d69876747ce3db7306e7d10cd11de4
64,64,2017-09-04,1:100,https://data.explore.star.fr/api/v2/catalog/datasets/tco-bus-lignes-pictogrammes-dm/files/4f955e92752017c8e4b32b11b092bf46
150,150ex,2017-09-04,1:100,https://data.explore.star.fr/api/v2/catalog/datasets/tco-bus-lignes-pictogrammes-dm/files/008cb2e5a7586ad9831d156e695f9f16
153,153ex,2017-09-04,1:100,https://data.explore.star.fr/api/v2/catalog/datasets/tco-bus-lignes-pictogrammes-dm/files/94ff1ab9cc2c4829a1815e76959e0a81
155,155ex,2017-09-04,1:100,https://data.explore.star.fr/api/v2/catalog/datasets/tco-bus-lignes-pictogrammes-dm/files/fdf1982b4bd38445614c336034495aa2
204,204,2017-09-04,1:100,https://data.explore.star.fr/api/v2/catalog/datasets/tco-bus-lignes-pictogrammes-dm/files/e3df9eb59af2afefea4b013deb665f2f
205,205,2017-09-04,1:100,https://data.explore.star.fr/api/v2/catalog/datasets/tco-bus-lignes-pictogrammes-dm/files/b6936b26f02cc46de9f95950d138b7b2
225,225,2017-09-04,1:100,https://data.explore.star.fr/api/v2/catalog/datasets/tco-bus-lignes-pictogrammes-dm/files/cad26e299a21effd639085410c8b0968
226,226,2017-09-04,1:100,https://data.explore.star.fr/api/v2/catalog/datasets/tco-bus-lignes-pictogrammes-dm/files/f167ef787c8707016b147bb2394bfd8c
237,237,2017-09-04,1:100,https://data.explore.star.fr/api/v2/catalog/datasets/tco-bus-lignes-pictogrammes-dm/files/97e9144f3eb716363619da1c6e607993
240,240,2017-09-04,1:100,https://data.explore.star.fr/api/v2/catalog/datasets/tco-bus-lignes-pictogrammes-dm/files/d7043d75a9db588b9ca38472923b314d
403,Ts3,2017-09-04,1:100,https://data.explore.star.fr/api/v2/catalog/datasets/tco-bus-lignes-pictogrammes-dm/files/0189c8b2f8dc51b014dc5bc0a059a8db
404,Ts4,2017-09-04,1:100,https://data.explore.star.fr/api/v2/catalog/datasets/tco-bus-lignes-pictogrammes-dm/files/05f83879dc06ac2ea94d5a2d45ef2f5a
407,Ts7,2017-09-04,1:100,https://data.explore.star.fr/api/v2/catalog/datasets/tco-bus-lignes-pictogrammes-dm/files/a2d9814c163b9e8e24171c8a4d225301
410,Ts10,2017-09-04,1:100,https://data.explore.star.fr/api/v2/catalog/datasets/tco-bus-lignes-pictogrammes-dm/files/7474281ed7361bf9724e56eea1e9b22c
436,Ts36,2017-09-04,1:100,https://data.explore.star.fr/api/v2/catalog/datasets/tco-bus-lignes-pictogrammes-dm/files/888dfd6daaef024c8b9ba3752be9b9dd
452,Ts52,2017-09-04,1:100,https://data.explore.star.fr/api/v2/catalog/datasets/tco-bus-lignes-pictogrammes-dm/files/5bb6717de85fbd7380e537b41d485d4f
454,Ts54,2017-09-04,1:100,https://data.explore.star.fr/api/v2/catalog/datasets/tco-bus-lignes-pictogrammes-dm/files/ff3b31a564db37349fd667a1e6c72278
456,Ts56,2017-09-04,1:100,https://data.explore.star.fr/api/v2/catalog/datasets/tco-bus-lignes-pictogrammes-dm/files/7d52c04522e3ac8cdb6d765d2d4d6b90
461,Ts61,2017-09-04,1:100,https://data.explore.star.fr/api/v2/catalog/datasets/tco-bus-lignes-pictogrammes-dm/files/de5d44fd6094b7a5521fb1e87acde934
481,Ts81,2017-09-04,1:100,https://data.explore.star.fr/api/v2/catalog/datasets/tco-bus-lignes-pictogrammes-dm/files/00bd63056063a844b33499869056a9c5
5,C5,2017-11-06,1:22,https://data.explore.star.fr/api/v2/catalog/datasets/tco-bus-lignes-pictogrammes-dm/files/b170b2f2ac2e1d5b1d9b71ae55c21ef2
12,12,2017-11-06,1:22,https://data.explore.star.fr/api/v2/catalog/datasets/tco-bus-lignes-pictogrammes-dm/files/91130ab75b254f14ef985d3a8b7afd85
32,32,2017-11-06,1:22,https://data.explore.star.fr/api/v2/catalog/datasets/tco-bus-lignes-pictogrammes-dm/files/aaa4515186cac11aec1673f49e942bfd
37,37,2017-11-06,1:22,https://data.explore.star.fr/api/v2/catalog/datasets/tco-bus-lignes-pictogrammes-dm/files/60c0bb503d18873bfc3c2e30a97221ee
57,57,2017-11-06,1:22,https://data.explore.star.fr/api/v2/catalog/datasets/tco-bus-lignes-pictogrammes-dm/files/ee2c612605440c7caf9d4d6308505e6c
61,61,2017-11-06,1:22,https://data.explore.star.fr/api/v2/catalog/datasets/tco-bus-lignes-pictogrammes-dm/files/2724b7b35eaa55807372764768d4ddcf
65,65,2017-11-06,1:22,https://data.explore.star.fr/api/v2/catalog/datasets/tco-bus-lignes-pictogrammes-dm/files/9e668a482ccea9a95f64ef623bc26eb7
67,67,2017-11-06,1:22,https://data.explore.star.fr/api/v2/catalog/datasets/tco-bus-lignes-pictogrammes-dm/files/4ff206286f70332a5c54d05c166610bf
72,72,2017-11-06,1:22,https://data.explore.star.fr/api/v2/catalog/datasets/tco-bus-lignes-pictogrammes-dm/files/0ad131c8ddb10fc2b1e28ca7e5cdad60
76,76,2017-11-06,1:22,https://data.explore.star.fr/api/v2/catalog/datasets/tco-bus-lignes-pictogrammes-dm/files/822f364149391870c960f47ed17a8b2e
80,80,2017-11-06,1:22,https://data.explore.star.fr/api/v2/catalog/datasets/tco-bus-lignes-pictogrammes-dm/files/fad4a5115f9ffc05c587441e6e65ef2f
94,94,2017-11-06,1:22,https://data.explore.star.fr/api/v2/catalog/datasets/tco-bus-lignes-pictogrammes-dm/files/33e3a27c50699bac9de62c061462a727
152,152ex,2017-11-06,1:22,https://data.explore.star.fr/api/v2/catalog/datasets/tco-bus-lignes-pictogrammes-dm/files/f6a46134596829491b604421a2cdac58
156,156ex,2017-11-06,1:22,https://data.explore.star.fr/api/v2/catalog/datasets/tco-bus-lignes-pictogrammes-dm/files/4add8c7f3cc3c45fde029730ceaa84bd
167,167ex,2017-11-06,1:22,https://data.explore.star.fr/api/v2/catalog/datasets/tco-bus-lignes-pictogrammes-dm/files/dcf8a32f4513fa81642f543ed974d06b
204,204,2017-11-06,1:22,https://data.explore.star.fr/api/v2/catalog/datasets/tco-bus-lignes-pictogrammes-dm/files/782786d82855960b8d2adee2e4e66f78
211,211,2017-11-06,1:22,https://data.explore.star.fr/api/v2/catalog/datasets/tco-bus-lignes-pictogrammes-dm/files/901afe8408a7be803f791c80f7bc8143
216,216,2017-11-06,1:22,https://data.explore.star.fr/api/v2/catalog/datasets/tco-bus-lignes-pictogrammes-dm/files/152affb9908b64d536dabe122192fe2c
220,220,2017-11-06,1:22,https://data.explore.star.fr/api/v2/catalog/datasets/tco-bus-lignes-pictogrammes-dm/files/5cf1588500fd05baca86ee61bd60294e
222,222,2017-11-06,1:22,https://data.explore.star.fr/api/v2/catalog/datasets/tco-bus-lignes-pictogrammes-dm/files/2242e9b5bb6c3e05711c65da3c8d2c1d
227,227,2017-11-06,1:22,https://data.explore.star.fr/api/v2/catalog/datasets/tco-bus-lignes-pictogrammes-dm/files/59ee59c671b9708fa3927aac223aab2c
231,231,2017-11-06,1:22,https://data.explore.star.fr/api/v2/catalog/datasets/tco-bus-lignes-pictogrammes-dm/files/1262bf08af0f4a3f1ad5b2d55d4faf90
237,237,2017-11-06,1:22,https://data.explore.star.fr/api/v2/catalog/datasets/tco-bus-lignes-pictogrammes-dm/files/7750480cd126244c24931ace757f9a29
239,239,2017-11-06,1:22,https://data.explore.star.fr/api/v2/catalog/datasets/tco-bus-lignes-pictogrammes-dm/files/5d1c04eee8b01314fcc828b281269d74
405,Ts5,2017-11-06,1:22,https://data.explore.star.fr/api/v2/catalog/datasets/tco-bus-lignes-pictogrammes-dm/files/9aadbe5073072370f1b8c22d68cbd1c3
409,Ts9,2017-11-06,1:22,https://data.explore.star.fr/api/v2/catalog/datasets/tco-bus-lignes-pictogrammes-dm/files/1404953f95232b29e42f0a1ffccd1444
410,Ts10,2017-11-06,1:22,https://data.explore.star.fr/api/v2/catalog/datasets/tco-bus-lignes-pictogrammes-dm/files/14bb077c0bf660cfdaa942665d96e591
413,Ts13,2017-11-06,1:22,https://data.explore.star.fr/api/v2/catalog/datasets/tco-bus-lignes-pictogrammes-dm/files/a825e90a6a041335bcfa8595779f4c71
445,Ts45,2017-11-06,1:22,https://data.explore.star.fr/api/v2/catalog/datasets/tco-bus-lignes-pictogrammes-dm/files/8abb7de0f03bf9026d01dcc45242510d
452,Ts52,2017-11-06,1:22,https://data.explore.star.fr/api/v2/catalog/datasets/tco-bus-lignes-pictogrammes-dm/files/ccd529ab7a05094548e0b0b762437868
454,Ts54,2017-11-06,1:22,https://data.explore.star.fr/api/v2/catalog/datasets/tco-bus-lignes-pictogrammes-dm/files/c22107ad8eadc361efbc745e08e1e71a
461,Ts61,2017-11-06,1:22,https://data.explore.star.fr/api/v2/catalog/datasets/tco-bus-lignes-pictogrammes-dm/files/ec5ace3b3184aa8ada0f9c134d3a5a66
471,Ts71,2017-11-06,1:22,https://data.explore.star.fr/api/v2/catalog/datasets/tco-bus-lignes-pictogrammes-dm/files/36863b640697679f5f0fcd18d4dfa088
122,N2,2017-11-06,1:22,https://data.explore.star.fr/api/v2/catalog/datasets/tco-bus-lignes-pictogrammes-dm/files/ab78ff5301c445d03a7af1d25df360e2
806,BDS,2017-11-06,1:22,https://data.explore.star.fr/api/v2/catalog/datasets/tco-bus-lignes-pictogrammes-dm/files/2ca7dad86decf507278755052cda7a9e
901,NAV,2017-11-06,1:22,https://data.explore.star.fr/api/v2/catalog/datasets/tco-bus-lignes-pictogrammes-dm/files/0443e1a24349c4d57b7668d038a4d629
801,REL-A,2017-11-06,1:22,https://data.explore.star.fr/api/v2/catalog/datasets/tco-bus-lignes-pictogrammes-dm/files/0dbd63c4c24b319ffc57e838daecaa0a
9,9,2017-09-04,1:30,https://data.explore.star.fr/api/v2/catalog/datasets/tco-bus-lignes-pictogrammes-dm/files/798983ad9b48307673d27b6eefb7feb2
12,12,2017-09-04,1:30,https://data.explore.star.fr/api/v2/catalog/datasets/tco-bus-lignes-pictogrammes-dm/files/743424f63c96a7ff1431b24d9b73dab3
32,32,2017-09-04,1:30,https://data.explore.star.fr/api/v2/catalog/datasets/tco-bus-lignes-pictogrammes-dm/files/4be657a83175442c49ec80fd8dfb01d1
40,40ex,2017-09-04,1:30,https://data.explore.star.fr/api/v2/catalog/datasets/tco-bus-lignes-pictogrammes-dm/files/a5d304eb802cd438c39f3735946c6bf7
41,41ex,2017-09-04,1:30,https://data.explore.star.fr/api/v2/catalog/datasets/tco-bus-lignes-pictogrammes-dm/files/7f3f55c1fe3e8f753f2e62e7de4b72aa
55,55,2017-09-04,1:30,https://data.explore.star.fr/api/v2/catalog/datasets/tco-bus-lignes-pictogrammes-dm/files/840642c792ff90d5cb0caf9c9592618e
57,57,2017-09-04,1:30,https://data.explore.star.fr/api/v2/catalog/datasets/tco-bus-lignes-pictogrammes-dm/files/a979112eb70973e4e64f330334c2736e
